Scheme,Accuracy,ROC-AUC,F1-Score,Precision,Recall
1. All + LogReg,0.9334557136301056,0.89547686994644,0.4796650717703349,0.7453531598513011,0.35361552028218696
2. All + RF,0.9343735658558971,0.9136591614746277,0.4596977329974812,0.8039647577092511,0.3218694885361552
3. Lasso + LogReg,0.9334557136301056,0.8955180074387221,0.48028673835125446,0.7444444444444445,0.3544973544973545
4. Lasso + SVM,0.9277191372189078,0.885276544391564,0.3186733958183129,0.8735177865612648,0.1948853615520282
5. Lasso + RF,0.9343735658558971,0.9131330151640034,0.46240601503759404,0.7987012987012987,0.3253968253968254
6. RF_FI + RF,0.933379225944623,0.9054517886315765,0.4573208722741433,0.7791932059447984,0.3236331569664903
7. RF_FI + LogReg,0.9303962062108001,0.8815681877937601,0.43407960199004975,0.7362869198312236,0.30776014109347444
8. RF_FI + SVM,0.9252715312834634,0.8669077308943305,0.26596543951915846,0.8984771573604061,0.15608465608465608
9. ANOVA + DecTree,0.9250420682270154,0.7978078221796815,0.4110576923076923,0.6452830188679245,0.30158730158730157
10. ANOVA + KNN,0.9280250879608383,0.7859015093102194,0.3971812940422806,0.7259953161592506,0.27336860670194
